"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1795270930824040456","Tue May 28 01:48:39 +0000 2024","28903","kalo gaji 10 juta per bulan dipotong tapera 3% = 300 ribu/bulan 1 tahun = 3 6 juta. 100 tahun menabung akhirnya bisa deh dapet rumah yang harganya 360 juta. ngitungnya gitu gak sih?","1795270930824040456","","","in","","1357","3015","8917","https://x.com/solehsolihun/status/1795270930824040456","95370094","solehsolihun"
"1795810852391846368","Wed May 29 13:34:06 +0000 2024","7455","Putri (bukan nama sebenarnya) seorang pensiunan guru PNS peserta program tabungan perumahan yang waktu itu namanya Bapertarum hanya mendapat pencairan Rp 6 6 juta dari periode kepesertaannya selama 28 tahun. #focus #tapera #bisnis #videonews https://t.co/OfNzXiFwnU https://t.co/1xIQrdBFKH","1795810852391846368","https://pbs.twimg.com/amplify_video_thumb/1795810767222214656/img/3KNrhZUedgja5dkt.jpg","","in","","715","823","3875","https://x.com/kumparan/status/1795810852391846368","759692754985242625","kumparan"
"1795375053997269022","Tue May 28 08:42:23 +0000 2024","4957","Gaji pekerja di Indonesia anggap pukul rata 4jt sebulan setara 48jt setahun. Potong 3% untuk Tapera 1.5jt. Dikali jumlah pekerja yg terdaftar di BPJS Ketenagakerjaan 41.5jt orang totalnya 60 T tiap tahun. Kalo km jd manajer investasinya bakal diputar kemana tuh duit?","1795375053997269022","","","in","","273","947","1305","https://x.com/investorgabut/status/1795375053997269022","185523454","investorgabut"
"1795463085286887931","Tue May 28 14:32:12 +0000 2024","21369","Bayangin jadi warga Indonesia dalam satu minggu kudu awas sama isu UKT isu student loan isu RUU Polri isu RUU Penyiaran isu gaji pribadi mau dipotong langsung sama negara buat Tapera... sambil menonton fakta demi fakta berikut ini: https://t.co/ykwLLcke3B","1795463085286887931","https://pbs.twimg.com/media/GOrEJxaaEAADZ1O.jpg","","in","Yogyakarta, Indonesia","1021","508","10364","https://x.com/mardiasih/status/1795463085286887931","164627338","mardiasih"
"1796533581084553242","Fri May 31 13:25:58 +0000 2024","26486","Berarti Tapera untuk Biayai Program Makan Siang Gratis dan Proyek IKN","1796533581084553242","","","in","","392","315","9450","https://x.com/sandalista1789/status/1796533581084553242","546258782","sandalista1789"
"1795305149524738075","Tue May 28 04:04:37 +0000 2024","40248","Lu bayangin ya ada karyawan akhirnya gajinya 10 juta. Mau celebrate. Lalu: Pajak TER 2% BPJS Kes karyawan 1% BPJS TK: 2% JHT 1% JP Trus bakal nambah Tapera 2 5% Belum apa-apa udah kepotong 7 5%. Ga ngapa-ngapain aja uangnya udah kepotong 750ribu.","1795305149524738075","","","in","unfinishedscript.tumblr.com","2507","998","11832","https://x.com/ribkadel/status/1795305149524738075","83760592","ribkadel"
"1795034407453032484","Mon May 27 10:08:47 +0000 2024","14777","Semua orang dengan penghasilan diatas UMR akan kena potongan 3% untuk TAPERA????? Monyet lingkar istana yang mana lagi ini yang pegang hak ekslusif pengelolaan dananya? https://t.co/TyOTLWpqhb","1795034407453032484","https://pbs.twimg.com/media/GOk80xIboAAgRS4.png","","in","Indonesia","985","682","6057","https://x.com/ruliemaulana/status/1795034407453032484","185320244","ruliemaulana"
"1799036812893241805","Fri Jun 07 11:12:55 +0000 2024","15133","Untuk apa Tapera kalau presiden terpilih aja berjanji akan bangun 3 juta rumah https://t.co/BJKNw6f3jx","1799036812893241805","https://pbs.twimg.com/ext_tw_video_thumb/1799036788662763520/pu/img/n4TvrYRzx5yfXXOA.jpg","","in","DKI Jakarta, Indonesia","393","465","4576","https://x.com/Mdy_Asmara1701/status/1799036812893241805","1334853481019056128","Mdy_Asmara1701"
"1270005614303825920","Mon Jun 08 14:51:48 +0000 2020","2747","Kebusukan dari program Tapera adalah agenda menyelamatkan bank plat merah Bank BTN yang dalam kondisi megap-megap Dengan memotong gaji PNS dan swasta 2 5 persen Dan semua tertuju pada Taperanya bukan pada kondisi Bank BTN diluar tanggungjawab pemerintahan Jokowi https://t.co/FmMTGryKnx","1270005614303825920","https://pbs.twimg.com/media/EZ_3XN4UcAEC8O0.jpg","","in","Pulau Reklamasi Jakarta Utara","96","252","1239","https://x.com/podoradong/status/1270005614303825920","1241349546627567616","podoradong"
"1798931644122063126","Fri Jun 07 04:15:01 +0000 2024","17904","Momen Pak Bas di cecar soal Tapera https://t.co/DjwWheWaxk","1798931644122063126","https://pbs.twimg.com/ext_tw_video_thumb/1798931042293964800/pu/img/ufS7LOkg_s8CTYT_.jpg","","in","DIHATIMU","474","263","3627","https://x.com/Cintada16/status/1798931644122063126","1279643013455605760","Cintada16"
