,author,date,like,comment,public
0,@ikih_ikih_kimochi,2024-07-29T02:26:45Z,0,Rumah dp 0 % itu saya aja mustahil sekali.. tp yg gaungkan program itu menang jd pemimpin suatu daerah.. berarti rakyat gampang dibodohi,True
1,@dikicandrairawan5801,2024-07-27T11:18:54Z,0,ToLak maksa maksa rakyat indonesi negara bebas suka suka kita dong mau untuk tabungan tapera,True
2,@dikicandrairawan5801,2024-07-27T11:16:04Z,0,Negara yg aman nyaman rakyat nya makmur negara bebas negara demokrasi indonesia ini,True
3,@dikicandrairawan5801,2024-07-27T11:14:32Z,0,Kita bubarkan pemerintahan di rubah ganti unjuk rasa rusuh ricuh besar besaran di jakarta Lengserkan pemerintahan negara ini harus memuLyakan memakmurkan rakyat nya negara bebas negara demokrasi negara republik indonesia ini,True
4,@caiciu,2024-07-27T06:16:48Z,0,"Apa² yg diurus pemerintah kacau,berbelit dll....potensi korupsi",True
5,@SHINIGAMI_N,2024-07-27T03:52:13Z,0,Malaysia orang nganggur masih dapat uang dr pemerintah.. di konoha nganggur di injek.. kerjapun diperas darahnya dengan gimik pajak dan tabungan..,True
6,@ramadhan1583,2024-07-26T18:40:26Z,0,"Ayo lah bang raymond abang saya lihat sudah mulai peduli dengan negara, emg  bang raymodn orang dari etnis china tapi abang lahir di indonesia, bang raymond punya pemikiran kritis,cerdas,dan juga pandai. jadi manfaatkanlah  kelebihan abang untuk kebaikan, orang baik pasti milih yg terbaik yang jujur amanah, orang baik memanen hasil yang baik,percaya semua ada hasil yaitu balasan yang di berikan tuhan, klo abang konsisten menjadi baik maka sempurnalah kelebihan abang",True
7,@SeptianiSanti-jw2qn,2024-07-24T04:50:07Z,0,Untung udh gk jd karyawan 😅,True
8,@Xrmbloxkrumb123,2024-07-22T08:16:18Z,0,"Habis tapera terbitlah asuransi wajib kendaraan. rakyat akan diambil lagi penghasilannya melalui wajib asuransi kendaraan ditahun 2025. Peraturannya akan diketok sebentar lagi. Habis gaji kita, anak2 kami sekolah dan makan pakai apa. Apalagi kendaraan rakyat pada tua2 harga tdk sebanding.",True
9,@Fabian-zu3zv,2024-07-21T15:21:44Z,0,Tpera bunganya brp persen?,True
10,@SuhariSuhari-uv1rv,2024-07-20T15:10:05Z,0,Intinya tegakan dulu hukum di indonesia hukum mati yg koropsi baru tapera brjalan mulus .,True
