,Unnamed: 0,comment,sentimen
0,0,rumah dp 0 saya aja mustahil sekali tp gaung program menang jd pimpin suatu daerah arti rakyat gampang bodoh,negatif
1,1,tolak maksa maksa rakyat indonesi negara bebas suka suka dong mau tabung tapera,negatif
2,2,negara aman nyaman rakyat nya makmur negara bebas negara demokrasi indonesia,positif
3,3,bubar perintah rubah ganti unjuk rasa rusuh ricuh besar besar jakarta lengser perintah negara harus memulyakan makmur rakyat nya negara bebas negara demokrasi negara republik indonesia,negatif
4,4,apa urus perintah kacauberbelit dllpotensi korupsi,negatif
5,5,malaysia orang nganggur dapat uang dr perintah konoha nganggur injek kerja peras darah gimik pajak tabung,negatif
6,6,ayo lah bang raymond abang lihat mulai peduli negara emg bang raymodn orang etnis china abang lahir indonesia bang raymond punya pikir kritiscerdasdan pandai jadi manfaat lebih abang baik orang baik milih baik jujur amanah orang baik panen hasil baikpercaya semua hasil balas di ikan tuhan klo abang konsisten jadi baik sempurna lebih abang,positif
7,7,untung udah gk jd karyawan,negatif
8,8,habis tapera terbit asuransi wajib kendara rakyat ambil hasil lalu wajib asuransi kendara tahun 2025 atur ketok sebentar habis gaji anak2 sekolah makan pakai apa kendara rakyat tua2 harga tdk banding,negatif
9,9,tpera bunga brp persen,negatif
10,10,inti tetidakan dulu hukum indonesia hukum mati koropsi baru tapera brjalan mulus,negatif
11,11,turut sih kalo konsep kaya nabung pajak pribadi disebutin video pisah mending dijadiin satu jadi sekali bayar biar ga bingung ngurusin data tiap instansi beda bijak jadi ngurangin tiap lembaga jadi punya pegawai sendiri buat ngelola pajak pribadi instansi gitu sedikit atidak ga efesien ga fokus jobdesknya jadinyasoalnya kalo diitung sesuai apa video buat kelas tengah bawah total persentase 1417 hampir sama kaya negara sih pajak dikumpulin semua jadi satu kemenkeu kemenkeu bagi ngurusin dana pajak pribadi sama pajak perintah pajak pribadi di kelompokin dasar prioritas jadi 3 kelompokkelompok pertamabuat urgent bangettt kita ga ngapangapain kalo ga dana jadi pake investasi risknya ringan gampang dicairinmisal 50 bagi buat sehat urgency kita nganggur kena bencanakelompok dua secondary investasi mediummisal 30 bagi jadi buat biaya kuliah biaya sertifikasikelompok tiga investasi high risk kaya sahammisal 15 bagi buat tabung pensiun beli rumah 5 buat kelola perintah bangun negara jumlah bener buat negara emang bilang sedikit jumlah masyarakat indonesia kan banyak sama dihasilin pajak kita makan di resto supermarket transportasi umum pajak sanksi jadi kaya kumpul uang buat ngebangun negara cukup banyak nah jumlah pajak pajak dikumpulin urus sama kemenkeu ngurus pajak perintah pajak perintah buat biaya bangun negara bisnis negara diproporsiin sama tiap instansi berapa persen dasar prioritas terus masing masing duduk bayar pajak tadi kasih kartu macam e money konfirmasi pake sidik jari retina mata buat bisa akses kelompok 1 2 kelompok 3 nya baru kasih pensiun bener bener banget butuh rumah misal jadi longsor rumah rusak ga ada sisa gt rusa rumah fatal banget ga layak huni ada di rumah dia kalo dia ga punya rumah sendiri hubung rumah tangga bakal retaktiap guna langsung tracking data pribadi guna langsung kirim pusat jadi langsung data siapa aja pake berapa persen anggur siapa yang pake buat penyalahgunaan e money dll biar perintah tau apa yang harus baik ngurangin bansos salah sasar disalahgunakan mungkinpr besar gimana cara satu instansi instansi nyatu bukan masalah data aja seluruh juga gt,negatif
12,12,kadang sering tanya tanya perintah orang hubung suka nontonin vidio para conten creator kritik gk banyak tidak ngefek,negatif
13,13,koruptor hukum mati dulu baru mau ikut tapera,negatif
14,14,wacana konyoll gin mikirnya pejabat2 sini apa malu sama perintah negara2 tetangga soal liat bangett kan tolol asli jadi bener2 liat kualitass jabat negri konoha,positif
15,15,perintah siap rakyat percaya mulai tidak mau baca,negatif
